IDNODE;FASE;REAL;IMAG
0;0;1.04976;0
0;1;-0.525062;-0.909434
0;2;-0.522738;0.905409
1;0;1.0477;-0.000969624
1;1;-0.524918;-0.907507
1;2;-0.520845;0.903837
2;0;1.04631;-0.00163046
2;1;-0.524841;-0.906258
2;2;-0.519603;0.902799
3;0;1.02026;-0.0141406
3;1;-0.52376;-0.883784
3;2;-0.496986;0.883761
4;0;1.05;0
4;1;-0.523688;-0.883655
4;2;-0.525;0.909327
5;0;0.99004;-0.0290552
5;1;-0.522728;-0.858746
5;2;-0.470626;0.861313
6;0;0.966079;-0.0408795
6;1;-0.521911;-0.838896
6;2;-0.449727;0.843515
7;0;1.03746;-0.0477444
7;1;-0.540774;-0.862514
7;2;-0.459775;0.870594
8;0;1.03653;-0.0477129
8;1;-0.541406;-0.937743
8;2;-0.541406;0.937743
9;0;1.01292;-0.04688
9;1;-0.541406;-0.937743
9;2;-0.541406;0.937743
10;0;1.00992;-0.0467695
10;1;-0.541406;-0.937743
10;2;-0.541406;0.937743
11;0;1.03077;-0.0504382
11;1;-0.537472;-0.852756
11;2;-0.450912;0.862031
12;0;1.12875;0
12;1;-0.537372;-0.852588
12;2;-0.541406;0.937743
13;0;1.03022;-0.0506838
13;1;-0.537233;-0.852033
13;2;-0.450182;0.861309
14;0;1.01707;-0.0566196
14;1;-0.531416;-0.834402
14;2;-0.432463;0.843858
15;0;1.07434;-0.0754139
15;1;-0.559666;-0.856317
15;2;-0.428134;0.875545
16;0;1.07146;-0.0787282
16;1;-0.559073;-0.850592
16;2;-0.421524;0.87113
17;0;1.07096;-0.0785875
17;1;-0.558633;-0.849976
17;2;-0.421212;0.870512
18;0;1.22046;0
18;1;-0.55856;-0.849808
18;2;-0.582012;1.00807
19;0;1.07092;-0.0785779
19;1;-0.558617;-0.849946
19;2;-0.421211;0.870497
20;0;1.07142;-0.0788214
20;1;-0.55911;-0.850492
20;2;-0.421414;0.87112
21;0;1.07124;-0.0792698
21;1;-0.559285;-0.850007
21;2;-0.42088;0.871074
22;0;1.07148;-0.080147
22;1;-0.559929;-0.849566
22;2;-0.420201;0.87162
23;0;1.07152;-0.0802818
23;1;-0.560037;-0.849529
23;2;-0.420109;0.871704
24;0;1.03779;-0.0476492
24;1;-0.540847;-0.862789
24;2;-0.460018;0.870874
25;0;0.993719;-0.0674952
25;1;-0.521546;-0.802973
25;2;-0.40135;0.813609
26;0;1.01674;-0.0567696
26;1;-0.531277;-0.83396
26;2;-0.43203;0.843438
27;0;1.12875;0
27;1;-0.531197;-0.833829
27;2;-0.541406;0.937743
28;0;1.07299;-0.0769242
28;1;-0.559368;-0.853668
28;2;-0.425089;0.873481
29;0;1.07119;-0.078669
29;1;-0.558797;-0.850287
29;2;-0.421259;0.870631
30;0;1.07095;-0.0785822
30;1;-0.558625;-0.849958
30;2;-0.421213;0.870517
31;0;1.07299;-0.076924
31;1;-0.578628;-1.00221
31;2;-0.582012;1.00807
32;0;1.03436;-0.100755
32;1;-0.561436;-0.806356
32;2;-0.381005;0.850205
33;0;0.950941;-0.102597
33;1;-0.554968;-0.712856
33;2;-0.408349;0.831533
34;0;1.0378;-0.0476462
34;1;-0.540849;-0.862798
34;2;-0.460025;0.870883
35;0;1.07434;-0.0754112
35;1;-0.559669;-0.856325
35;2;-0.428142;0.875552
